"FIPS","Z","aprilDeaths","juneDeaths","State","ruralUrban","pop2018","percentNoHS","percentBA","pov18","unemp18","density","age017","age65plus","docsPer100k","Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.","black","asian","hisp","white","AmInd","dem2party","aprilInfec","aprilTrend"
1001,TRUE,43,213,"AL","Autauga County",2,55601,11.3,13.85,7587,3.6,45.9,6581.5,8653,196.7,5731.5,481,824.5,21330,285.5,0.272505880725059,727,0.993305106306142
1003,TRUE,58,270,"AL","Baldwin County",3,218022,9.7,10.4333333333333,21069,3.6,38.2,15703.3333333333,44571,196.7,7041,1134.66666666667,3377,63433.6666666667,1158.33333333333,0.200921349728419,2838,0.999666240186509
1005,TRUE,2,30,"AL","Barbour County",6,24881,27,2.03333333333333,6788,5.2,5.16666666666667,865.333333333333,4832,196.7,2044,25.1666666666667,177.333333333333,2034.83333333333,48,0.545637829912023,499,0.998887033600617
1007,TRUE,0,30,"AL","Bibb County",1,22400,16.8,11.5,4400,4,36.8,4587,3690,196.7,4906,85,588,17211,201,0.24828241485163,650,0.996769372872139
1009,TRUE,0,30,"AL","Blount County",1,57840,19.8,12.6,7527,3.5,88.9,13392,10548,196.7,1251,313,5536,55456,805,0.0883399623194474,589,0.996657372263065
1011,TRUE,0,246,"AL","Bullock County",6,10138,24.8,2.21666666666667,3610,4.7,2.91666666666667,356.166666666667,1661,196.7,1206.5,6.83333333333333,134.5,443.5,22.5,0.82004324049345,218,0.975069160030892
1013,TRUE,5,729,"AL","Butler County",6,19680,15.4,2.68333333333333,4731,4.8,4.5,729.666666666667,3995,196.7,1494.16666666667,49,49.5,1713.83333333333,23.8333333333333,0.495717505634861,429,0.991071350595047
1015,TRUE,39,113,"AL","Calhoun County",3,114277,15.9,6,21719,4.7,65.2333333333333,8231.66666666667,20247,196.7,8467.33333333333,537.333333333333,1489.66666666667,28675.3333333333,467.666666666667,0.307375734155494,1853,0.998998485232539
1017,TRUE,344,792,"AL","Chambers County",6,33615,18.6,2.2,6181,3.9,9.56666666666667,1165.33333333333,6562,196.7,2285.16666666667,82.6666666666667,143.5,3197,40.6666666666667,0.477402029948569,6046,0.999888759107504
1019,TRUE,0,154,"AL","Cherokee County",6,26032,19.8,2.15,4180,3.6,7.81666666666667,831.666666666667,5980,196.7,215.333333333333,22.8333333333333,70.3333333333333,4036.16666666667,68.1666666666667,0.162937347436941,292,0.978257670533703
1021,TRUE,9,55,"AL","Chilton County",1,44153,17.8,14.2,7542,3.6,63,10491,7411,196.7,4900,304,3500,38459,458,0.171946757997976,1035,0.998775668748985
1023,TRUE,0,332,"AL","Choctaw County",9,12841,18.6,1.44444444444444,2806,5.5,1.68888888888889,285.222222222222,2953,196.7,600.555555555556,4.33333333333333,14.8888888888889,815.888888888889,6.66666666666667,0.505762530152774,476,0.996657372263065
